,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id,orbit_id
0,58007.384004633706,304.2717807,-29.7076084,0.036000000000000004,0.036000000000000004,17.352613,0.0838,i,Q55,20170911091206,58007.38342593,58007.384004633706,100.0,234762279920170911091206,12661263596,304.27175466169007,-29.70763732869842,0.819052092398533,-0.06704403781771731,-0.09373791583584534,-0.10414331431150003,0.13219169327417943,SKYMAPPER_DR2,242210
1,58007.38539351371,304.2729015,-29.7076858,0.036000000000000004,0.036000000000000004,17.4058,0.067,z,Q55,20170911091407,58007.38481481,58007.38539351371,100.0,234762280920170911091407,12661263597,304.27289206281597,-29.70773031227256,0.8188703966803518,-0.06685283600987323,-0.03397386246888345,-0.16024418121389772,0.16293848333316072,SKYMAPPER_DR2,242210
2,58012.37013889371,308.7201702,-29.8260521,0.036000000000000004,0.036000000000000004,17.462307,0.0817,i,Q55,20170916085209,58012.36956019,58012.37013889371,100.0,2359101841620170916085209,12659923374,308.7201239307256,-29.82609404625654,0.8729996434155763,-0.00085418173922716,-0.16656938776122843,-0.1510065235478919,0.2090090966694593,SKYMAPPER_DR2,242210
3,58012.37152777371,308.7213314,-29.8260203,0.036000000000000004,0.036000000000000004,17.538982,0.0739,z,Q55,20170916085409,58012.37094907,58012.37152777371,100.0,2359101941620170916085409,12659923372,308.7213362265806,-29.826095108122097,0.8727876589172819,-0.0006732333104124439,0.017375690185872372,-0.2693092395489316,0.2697307821450482,SKYMAPPER_DR2,242210
4,58012.410289353706,308.7551169,-29.8259621,0.036000000000000004,0.036000000000000004,18.021343,0.0388,g,Q55,20170916094958,58012.40971065,58012.410289353706,100.0,235910191220170916094958,12659923292,308.7550687736312,-29.826019409553034,0.8682503870770578,0.004665012714869165,-0.17325492776762985,-0.2063143909154519,0.25525945890683294,SKYMAPPER_DR2,242210
5,58012.41168981371,308.7563302,-29.8259615,0.036000000000000004,0.036000000000000004,17.582485,0.0391,r,Q55,20170916095158,58012.41111111,58012.41168981371,100.0,235910226220170916095158,12659923287,308.75628459438786,-29.826012736553817,0.8681382107903558,0.004866390369926786,-0.16418020361470553,-0.18445159374920195,0.23304402509539232,SKYMAPPER_DR2,242210
6,58013.41950231371,309.6832094,-29.8081105,0.036000000000000004,0.036000000000000004,18.0606,0.0451,g,Q55,20170917100314,58013.41892361,58013.41950231371,100.0,235941872920170917100314,12657026879,309.68316544807993,-29.80812591030937,0.8756080676622783,0.019907489214304755,-0.15822691227640462,-0.0554771137316834,0.14807767229822086,SKYMAPPER_DR2,242210
7,58013.42090277371,309.6844312,-29.8080685,0.036000000000000004,0.036000000000000004,17.657936,0.0432,r,Q55,20170917100514,58013.42032407,58013.42090277371,100.0,235941873920170917100514,12657026877,309.6843915876783,-29.808097890009634,0.87552058339813,0.020110423128631195,-0.14260435812047945,-0.10580403467912447,0.16280470678853065,SKYMAPPER_DR2,242210
8,58032.38414351371,327.5791826,-26.9827842,0.036000000000000004,0.036000000000000004,17.875769,0.0375,i,Q55,20171006091218,58032.38356481,58032.38414351371,100.0,13679902520171006091218,12685447603,327.57917011250856,-26.982802676249023,0.8811854639357612,0.25145568572434757,-0.04495496925756015,-0.06651449647705476,0.0776471883077681,SKYMAPPER_DR2,242210
9,58032.385543983706,327.5804319,-26.982412,0.036000000000000004,0.036000000000000004,17.992386,0.0402,z,Q55,20171006091420,58032.38496528,58032.385543983706,100.0,13679912520171006091420,12685447603,327.5804039866346,-26.982450429474866,0.8810256920440982,0.25160084068172,-0.10048811539036251,-0.13834610951874993,0.16479917503543842,SKYMAPPER_DR2,242210
